Time0,Longitude0,Latitude0,Magnitude0,Time1,Longitude1,Latitude1,Magnitude1,Time2,Longitude2,Latitude2,Magnitude2,Time3,Longitude3,Latitude3,Magnitude3,Time4,Longitude4,Latitude4,Magnitude4,Time5
1634646997.0,142.8248,41.5122,5.3,1634647487.0,142.9168,41.4511,4.3,1634656697.0,142.7983,41.6104,4.5,1634681447.0,143.0525,41.5049,4.5,1634682053.0,142.8557,28.2915,4.3,1634700513.0
1634802260.0,141.9429,38.9848,4.2,1634805407.0,138.1614,32.1131,5.5,1634839220.0,121.5155,20.0936,4.4,1634958961.0,121.7414,24.0023,5.1,1634983384.0,122.0358,23.7204,4.1,1634983733.0
1634985157.0,121.6069,24.0387,4.1,1635037669.0,148.8728,44.9457,4.3,1635052294.0,121.8314,24.5108,6.2,1635057937.0,140.2493,31.5285,4.6,1635099439.0,120.3248,22.6628,4.1,1635124008.0
1635144281.0,142.2177,29.4171,4.2,1635226700.0,140.6952,26.36,4.2,1635265675.0,142.2418,37.2597,4.9,1635266411.0,142.4328,37.1967,4.5,1635272829.0,141.5087,37.2001,4.3,1635368036.0
1635382529.0,139.8833,36.0429,4.4,1635432474.0,141.7884,37.7506,4.3,1635465561.0,140.1727,35.6091,4.4,1635508479.0,145.3186,21.0911,4.5,1635527482.0,143.2171,24.3004,4.5,1635583640.0
1635610177.0,121.3007,20.6533,4.7,1635656626.0,137.2816,35.9925,4.1,1635668310.0,142.5354,29.1793,4.4,1635685342.0,139.8136,27.8329,4.2,1635688969.0,139.5496,35.3576,4.5,1635707922.0
1635709910.0,143.839,46.3146,4.1,1635712540.0,135.6276,33.2919,4.7,1635714887.0,140.5277,36.5337,5.2,1635722845.0,141.7102,40.6211,4.2,1635827626.0,136.892,32.8876,4.2,1635850840.0
1635865211.0,143.0997,36.0259,4.6,1635886541.0,142.3925,28.7564,4.2,1635891784.0,143.293,29.2959,4.2,1635897743.0,143.0183,35.9514,4.5,1635906956.0,141.2569,37.0785,4.6,1635940916.0
1635948754.0,144.4865,21.3901,4.5,1635955091.0,145.8427,42.9402,4.3,1636088156.0,137.4955,33.7858,4.9,1636139432.0,141.2027,27.9791,4.6,1636145801.0,128.6166,26.2265,4.4,1636157327.0
1636227659.0,139.8559,36.007,4.5,1636261884.0,142.6028,32.1226,4.4,1636264353.0,144.9596,40.2269,4.5,1636289070.0,142.2673,40.2762,4.4,1636308511.0,140.044,36.2065,4.4,1636309339.0
1636312939.0,141.9538,41.0724,4.5,1636345394.0,126.5818,26.8448,4.2,1636377844.0,121.6367,21.3992,4.4,1636388101.0,140.5069,37.0912,4.7,1636388840.0,139.9759,27.7513,4.1,1636405695.0
1636478347.0,126.5696,27.7236,4.0,1636482254.0,122.3426,23.9867,4.8,1636492650.0,142.9178,27.7095,4.6,1636549037.0,142.3598,29.0255,4.5,1636549737.0,142.264,40.2804,4.3,1636559113.0
1636560207.0,125.8829,23.4911,4.1,1636561912.0,145.0492,25.5718,4.6,1636577173.0,143.0302,22.0673,4.3,1636593127.0,126.2411,23.6694,4.5,1636600887.0,141.2171,36.3835,4.5,1636604478.0
1636608670.0,138.7572,29.4982,4.0,1636664002.0,126.3314,23.3279,5.0,1636668408.0,141.8049,33.8976,4.5,1636683231.0,140.1614,35.6466,4.5,1636757707.0,130.3585,26.7482,4.4,1636765592.0
1636772378.0,139.8636,34.9153,4.4,1636778706.0,130.373,31.2283,4.9,1636779772.0,144.8278,46.0448,4.6,1636802221.0,140.4512,34.1059,4.4,1636895114.0,121.984,24.5579,5.0,1636895327.0
1636902292.0,142.9005,36.779,4.4,1636930112.0,142.8643,22.099,4.5,1636931946.0,141.7099,43.2078,4.1,1636954725.0,142.2086,28.9958,4.9,1636954889.0,142.0185,29.0546,4.4,1637065966.0
1637084417.0,142.7794,23.2691,4.6,1637085284.0,139.1719,35.4303,4.4,1637102792.0,141.7635,37.6149,4.2,1637115934.0,122.2259,24.7694,4.9,1637128469.0,121.1837,33.5251,5.0,1637130281.0
1637192769.0,148.0549,44.2496,4.2,1637205334.0,124.2939,25.1898,4.1,1637236040.0,139.899,27.6063,4.1,1637258046.0,130.0054,26.518,5.0,1637295082.0,128.563,26.2829,4.3,1637349124.0
